ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",396,"Houston, TX","16000US4835000","houston-tx",306,0.00013228256593594237
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",2672,"Houston, TX","16000US4835000","houston-tx",5622,0.002430367927097608
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",16107,"Houston, TX","16000US4835000","houston-tx",197229,0.0852613012973202
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",4681.834042338536,"Houston, TX","16000US4835000","houston-tx",30907,0.013360971455497292
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",3323.0144447474195,"Houston, TX","16000US4835000","houston-tx",18755,0.008107710863165358
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",16112,"Houston, TX","16000US4835000","houston-tx",556000,0.2412788124222136
0,"White Alone",1,"Hispanic or Latino",2016,"2016",22066,"Houston, TX","16000US4835000","houston-tx",762837,0.3310367004167701
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",15480.999999999998,"Houston, TX","16000US4835000","houston-tx",506566,0.21982669585156667
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",3959,"Houston, TX","16000US4835000","houston-tx",13561,0.005884859667729566
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",954,"Houston, TX","16000US4835000","houston-tx",2689,0.0011669041845383677
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",1076,"Houston, TX","16000US4835000","houston-tx",2355,0.0010219633152055991
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",9382,"Houston, TX","16000US4835000","houston-tx",169558,0.07358049078540593
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",1038,"Houston, TX","16000US4835000","houston-tx",1754,0.0007611565413463357
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",703,"Houston, TX","16000US4835000","houston-tx",664,0.00028814591987113284
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",267,"Houston, TX","16000US4835000","houston-tx",304,0.0001319222283747355
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",2004,"Houston, TX","16000US4835000","houston-tx",4910,0.002130717570131419
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",17952,"Houston, TX","16000US4835000","houston-tx",232993,0.10110840709116693
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",4460.254364943776,"Houston, TX","16000US4835000","houston-tx",32123,0.013939926783163251
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",4062.4038450159037,"Houston, TX","16000US4835000","houston-tx",18074,0.007843297222516346
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",15965,"Houston, TX","16000US4835000","houston-tx",571986,0.2488380024954016
0,"White Alone",1,"Hispanic or Latino",2015,"2015",20305,"Houston, TX","16000US4835000","houston-tx",779062,0.3389247846976544
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",15811,"Houston, TX","16000US4835000","houston-tx",505472,0.21990161087396481
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",2153,"Houston, TX","16000US4835000","houston-tx",6567,0.0028569216071500044
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",770,"Houston, TX","16000US4835000","houston-tx",1463,0.0006364666226984097
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",2130,"Houston, TX","16000US4835000","houston-tx",5021,0.0021843464884270095
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",10333,"Houston, TX","16000US4835000","houston-tx",157897,0.06869184574450499
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",929,"Houston, TX","16000US4835000","houston-tx",1395,0.0006068837584854965
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",601,"Houston, TX","16000US4835000","houston-tx",746,0.0003245414221004878
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",256,"Houston, TX","16000US4835000","houston-tx",155,0.00006743152872061074
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",2680,"Houston, TX","16000US4835000","houston-tx",6208,0.0027007414857906542
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",17429,"Houston, TX","16000US4835000","houston-tx",219882,0.0956579316009376
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",4084.801096748776,"Houston, TX","16000US4835000","houston-tx",26708,0.011619104961742396
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",3617.8327766772195,"Houston, TX","16000US4835000","houston-tx",16066,0.006989386712421497
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",12426,"Houston, TX","16000US4835000","houston-tx",552325,0.2464860701286507
0,"White Alone",1,"Hispanic or Latino",2014,"2014",21467,"Houston, TX","16000US4835000","houston-tx",739368,0.3299577471577065
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",14084.000000000002,"Houston, TX","16000US4835000","houston-tx",511761,0.2283835744083799
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",3860.0000000000005,"Houston, TX","16000US4835000","houston-tx",13116,0.005853277139016671
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",1607,"Houston, TX","16000US4835000","houston-tx",4673,0.0020854196455188244
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",3340,"Houston, TX","16000US4835000","houston-tx",5899,0.0026325466486016576
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",9405,"Houston, TX","16000US4835000","houston-tx",153600,0.0685470698805246
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",627,"Houston, TX","16000US4835000","houston-tx",725,0.0003235457399959657
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",912.9999999999999,"Houston, TX","16000US4835000","houston-tx",1499,0.0006689587093157967
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",211,"Houston, TX","16000US4835000","houston-tx",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",2141,"Houston, TX","16000US4835000","houston-tx",3785,0.0016891318977720418
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",14523.000000000002,"Houston, TX","16000US4835000","houston-tx",211415,0.09434816913275461
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",4023.3130626388,"Houston, TX","16000US4835000","houston-tx",24929,0.011125064486013006
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",3913.4630444147547,"Houston, TX","16000US4835000","houston-tx",17701,0.007899425025749779
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",13014,"Houston, TX","16000US4835000","houston-tx",566079,0.25761613635184544
0,"White Alone",1,"Hispanic or Latino",2013,"2013",19054,"Houston, TX","16000US4835000","houston-tx",723249,0.3291424218180428
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",15697,"Houston, TX","16000US4835000","houston-tx",497105,0.22622685077733695
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",2803,"Houston, TX","16000US4835000","houston-tx",11538,0.005250813015899888
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",1533,"Houston, TX","16000US4835000","houston-tx",3793,0.0017261513060589594
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",2447,"Houston, TX","16000US4835000","houston-tx",5008,0.002279084033942333
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",8724,"Houston, TX","16000US4835000","houston-tx",137963,0.06278539747899083
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",551,"Houston, TX","16000US4835000","houston-tx",846,0.00038500501052620085
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",408,"Houston, TX","16000US4835000","houston-tx",610,0.0002776040856039982
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",247,"Houston, TX","16000US4835000","houston-tx",142,0.00006462259041929138
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",1203,"Houston, TX","16000US4835000","houston-tx",2723,0.001239206434589651
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",14715,"Houston, TX","16000US4835000","houston-tx",200955,0.09145234265992043
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",4058.6550728042903,"Houston, TX","16000US4835000","houston-tx",28543,0.012989595762942494
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",4235.573396837788,"Houston, TX","16000US4835000","houston-tx",18820,0.008564768673880733
